id,registration,name,category,сultural_property,height,width,depth,preservation,description
203,2016-06-14T09:44:18Z,Александр Львович Нарышкин (название изначальное); Александр де Нарышкин (название записано; французский)    В русском оригинале (переводе): Alexander de Narishkin (название записано; французский)    Автор: Саундерс Джозеф (гравер); Ритт А. (с оригинала)    Школа / Место издания: Англия / Великобритания    Период оригинала: 1 четверть 19 век,ОТТИСК,,28.2,23.7,,,"Стиль: Гравюра: резцовая; Овал: портрет    Размеры: В. 28.2, Ш. 23.7 (лист ?); В. 8 дюйм фр., Ш. 6.4 дюйм фр. (доска ?)    Характер подписи: Grave par J. Saunders. Graveur [...] St. Petersburgh. (в центре, под картушем)    Характер подписи: Нарышкина, мадам; Саундерс Джозеф, художник    Характер подписи: 1801.; Peint an Miniature par Ritt; Grand Marechal [...] de Russie. &c. &c. &c.; Dedie [...] Joseph Saunders;  ? (О. тушь, чернила, карандаш)    Ссылка на каталоги / инвентари: ЧИХМ: № 74; РОВИНСКИЙ/1887: стб. 1336, № 1, стб. 1337 (фото)    Ссылка на каталоги / инвентари: Фото: до реставрации; последнее из каталога, см. Ссылку.   Состояние: после реставрации (1971), след горизонтального изгиба.  В описании использован каталог, см. Ссылку."
7414,2016-06-14T09:45:29Z,"Спас (название употребляемое); Иисус Христос Вседержитель (название изначальное); Спас Вседержитель (название придуманное)    В русском оригинале (переводе): Пантократор (греческий, название изначальное)    Автор: Аноним (иконописец); Аноним (мастер)    Школа / Место издания: Россия ?",ИКОНА,,25,40,,,"Стиль: С окладом: Латунь ?/ Медь ?/ Другое ?    Размеры: В. 25, Ш. 40, Т. 2.5 (в окладе ?) / В. 40, Ш. 25, Т. 2.5 (в окладе ?)"
13957,2016-06-14T09:46:08Z,Ваза,,,12,40,,,"Размеры: В. 12.0, Ш. 40.0"
3541,2016-06-14T09:44:50Z,"Богородица из Деисусного чина (название старое); Богоматерь из Деисуса (название придуманное); Богоматерь в Молении (название последнее)    В русском оригинале (переводе): Деисус (греческий, название изначальное)    Автор: Аноним (иконописец)    Школа / Место издания: Россия",ИКОНА,,50,38,,,"Размеры: В. 50, Ш. 38 (приблизительно)"
4458,2016-06-14T09:45:00Z,"Тихвинская Божья Матерь (название старое); Путеводительница / Богохранимая  (название изначальное); Богоматерь Одигитрия Тихвинская (название придуманное); Богоматерь Одигитрия Тихвинская (название последнее)    В русском оригинале (переводе): Одигитрия (греческий, название изначальное)    Автор: Аноним (иконописец); Аноним (ювелир)    Школа / Место издания: Россия    Период оригинала: середина 19 век; 2 половина 19 век; 4 четверть 19 век",ИКОНА,,31,26,,,"Размеры: В. 31, Ш. 26 (в окладе ?)"
5778,2016-06-14T09:45:13Z,Святой Кирилл (название употребляемое); Святой праведник Кирилл (название придуманное)    Автор: Аноним (иконописец); Аноним (ювелир)    Школа / Место издания: Россия ?    Период оригинала: 4 четверть 19 век; 1 четверть 20 век,ЭМАЛЬ,,45,35,,,"Стиль: С окладом, С венцами/накладками ?: Серебро, Золочение - позолота, Чеканка, Филигрань/скань, Эмаль;   ИКОНА : Золочение ?, позолота ?    Размеры: В. 45, Ш. 35 (в окладе ?); Пр. 84 Серебро"
18318,2016-06-14T09:46:42Z,"пояс женский    Период оригинала: 20 век, 1 четверть",,,64,3,,,"Стиль: состоит из 9-ти четырёхугольных пластинок размером 6х3 см, соединённых при помощи шарниров, и пряжки    Размеры: Дл. 64, Ш. 3    Ссылка на каталоги / инвентари: инв. № 30703    Ссылка на каталоги / инвентари: Похищено из Гунибского музея"
14796,2016-06-14T09:45:46Z,Яйцо,,,12.8,5,,,"Стиль: Серебро 875 пробы, камни: сапфиры 3 шт., = 1,5 карат; жемчуг кафимский, перламутр.    Размеры: В. 12,8, Ш. 5,0, Вес 129,59 г    Ссылка на каталоги / инвентари: КП ОИРК 519-132. Акт № 606 от 18.10.1956 г. Из ЦХМФ пригородных дворцов. Старые №№ А-13789, ЦХ-778-VII.    Инвентарный номер: ЭРО-8813, СВ-4187"
10819,2016-06-14T09:46:13Z,Саквояж,,,32.5,95,26,,"Размеры: Дл. 32.5, Ш. 95.0, В. 26.0"
7900,2016-06-14T09:45:28Z,Святой Николай Чудотворец (название изначальное)    Автор: Аноним (иконописец); Аноним (мастер)    Школа / Место издания: Россия ?,ИКОНА,,25,30,,,"Стиль: Дерево поделочное; С окладом/ризой: Латунь ?/ Медь ?/ Серебро ?/ Белая жесть ?/ Другое ?, металл (?)    Размеры: В. 25, Ш. 30 (в окладе ?) / В. 30, Ш. 25 (в окладе ?)    Ссылка на каталоги / инвентари: В источнике не указаны датировка, материал оклада, требуется уточнение."
16012,2016-06-14T09:46:25Z,Бритва безопасная,,,4,4.1,,,"Размеры: Дл.4, Ш.4.1 см.    Ссылка на каталоги / инвентари: МУК ""Литературно-мемореальный музей А.П. Гадара г. Арзамаса"". 607220, Нижегородская область, г. Арзамас, ул. Космонавтов, д. 39 а    Инвентарный номер: 4162"
2545,2016-06-14T09:44:41Z,Венеция (название изначальное); Утро в Венеции (название придуманное)    Автор: Горбатов Константин Иванович (художник)    Школа / Место издания: Россия    Период оригинала: 4 четверть 19 век; 1 четверть 20 век,ЖИВОПИСЬ,,125,160,,,"Размеры: В. 125, Ш. 160 (без обрамления)    Ссылка на каталоги / инвентари: ЧГОМ: № 477 (472 п.ф.); Триеннале / 1999: № 30; МУЗЕЙ / ГРОЗНЫЙ: сс. 50-51    Ссылка на каталоги / инвентари: Состояние: в реставрации (1995с)."
4515,2016-06-14T09:44:59Z,Богородица (название старое); Богоматерь (название употребляемое)    Автор: Аноним (ювелир)    Школа / Место издания: Россия ?,,,3,5,,,"Стиль: Золочение ? / Золото ?    Размеры: В. 3, Ш. 5 / В. 5, Ш. 3"
