country,year_of_discovery,find_spot_id,find_spot_name,total_number_of_coins,terminal_year_earliest,terminal_year_latest,lat,long,summary,disposition
France,1856,5961,NANTES 1856,5,294,305,47.226,-1.556,"Before 1856, 5 nummi of Maximian Herculeus were found in Nantes and acquired by the Musée départemental d'archéologie. This assemblage was interpreted as possibly a hoard or a purse loss.",NA
Bulgaria,1970,10114,SOFRONIEVO,61,249,251,43.6336,23.784,61 silver coins found in a ceramic vessel: Hadrian - Trajan Decius (AD 249-251). Found together with a bronze brooch.,"Regional History Museum Vratsa, Bulgaria; inv.nos. M IV 8346-8406"
UK,1961,14723,FROCESTER COURT ROMAN VILLA 2,2,375,378,51.716292,-2.3198454,"Mattingly (2000, 20) lists 3 other poss. hoards from Frocester. These included 2 4th C coins found in contact on the pebble/gravel surface under Building E (hoard 4 - check). CK 512. CK523a - to check",NA
Spain,1999,12824,LLÍRIA 1999,5990,209,209,39.627,-0.597,"5989 Roman denarii (Augustus - Septimius Severus, AD 209) and 1 drachm of Caesarea in Cappadocia (Antoninus Pius) were uncovered, hidden under the floor of a house.","Museu de Prehistòria, Valencia, Spain"
UK,1978,15217,KESTON ROMAN VILLA,4,-70,-50,51.348595,0.023272074,"During excavation of Roman villa at Keston, a series of IA pits pre-dating the villa complex were investigated. 4 Iron Age potin coins were found in pit 31.",NA
Austria,1857,3047,AGGSBACH,7,222,235,48.2756,15.3964,"95 or 96 denarii were found near the Danube by the c frew of a ship. The coins were distrubuted to various person and melted down. There is some numismatic information on only 7 of the coins: Antoninus Pius 1, Lucius Verus 1, Commodus 1, Severus Alexander 4.; silver w8: 11.2-17.9g.",NA
UK,1990,14672,LACOCK 1990,15,260,402,51.41994,-2.1308179,"Concreted group of about 15 small copper alloy coins or coin blanks, found by D'Arcy Hunt, identified by Moorhead (2000, 57 no. 79) as a hoard. Found among a group of detector finds from an unknown site in Lacock parish. The collection of D'Arcy Hunt is now in the Wiltshire Museum, Devizes.",NA
Germany,1937,17021,WISSMAR,7,378,388,50.63732,8.67664,"7 coins were reportedly found together in the Wet10berg community forest/Kreuzheck district in 1937 during retrieval of tree soil. They are Roman bronze coins, ranging from Nero to the late 4th c. AD.",NA
Greece,1973,6772,WESTERN CRETE,206,310,312,35.331,23.96,"A hoard of Roman coins, found in Western Crete without any known find spot and handed over by Chatzigrigorakis. Reports on its con10t diverge (see bibliography): it comprised either 143 coins (Augustus - Gallienus) or 206 (Hadrian - Maximinus). Most of these were sestertii, with very few provincial coins (Syria and Koinon of Crete or Alexandria and 1 unknown mint). The report given by Vlachogianni has been followed here.",NA
Spain,1976,17843,MONTORO,3762,393,395,38.019144571628,-4.3832435936153,3762 coins found with an amphora: Gallienus - House of Theodosius I (AD 393-395).,"Museo Arqueológico de Córdoba, Spain"
Austria,1920,13201,SIEGENDORF IM BURGENLAND,61,367,383,47.781,16.539,Unknown number of coins. 61 coins that may be kept in a private collection suggest a chronological segment from the reign of Nerva to Gratian (AD 367-383) but there are strong doubts that these coins belong to the hoard. Hoard found with a ceramic vessel.,Private collection?
UK,1918,4,AITNOCK FORT,4,147,161,55.70956,-4.72167,"4 denarii (Vespasian - Antoninus Pius), found at Aitnock fort (an Iron Age fort), situated on the summit of a cliff which rises about 60 feet perpendicularly from the waters of the Rye stream at the south-west angle of Hindog Glen near Dalry in Ayrshire. The coins had been wrapped in some material and were found in a layer of occupation.",National Museums of Scotland
France,1979,12516,VRON 1979 1,77,367,375,50.284,1.744,"77 bronze coins: 1 sestertius, 76 nummi, 2nd century AD, House of Constantine I, House of Valentinianus I (AD 367-375). The hoard was found in a leather purse together with 3 bronze rings. The purse was discovered between the legs of a Skeleton in a grave beside a knife. 7 more coins were found in the same grave displaey near the left leg (see VRON 1).",NA
