name,address,longitude,latitude,description,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Татарско-Булярская сельская библиотека,"Респ Татарстан,р-н Муслюмовский,д Татарское Булярово,ул Дружбы,зд 5А",53.573439,55.442367,"Библиотека открылась в 1975 году в здании Дома культуры. С момента открытия здесь работали два библиотекаря: Зиганшина Гульчачак и Мирзаянова Фирая. С 2001 года библиотекарь – Мирзаянова Гульнур Кираметдиновна. Библиотека обслуживает пользователей в соответствии с законодательством, своими уставами и правилами пользования; обеспечивает сохранность библиотечного фонда, соблюдает режим хранения и использования документов. В настоящее время в фонде насчитывается 10 545 экз. изданий. Количество читателей – 503 человека. На базе библиотеки ведут работу три клуба по интересам: театральный кружок «Нур» (для детей до 14 лет); «Оста куллар» (для детей до 12 лет); клуб «Өмет» (для старшего поколения).",2022-03-29T06:09:14Z,2023-07-31T13:55:42Z,,,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00
"Качелинская сельская библиотека, филиал № 16","Респ Татарстан,р-н Арский,с Качелино,ул Центральная,д 200",49.808115,56.060157,"В 1930 году в деревне Качелино в период раскулачивания из одной комнаты дома муллы сделали учебное заведение, которое выполняло роль клуба и библиотеки. В 1939 году оно преобразовалось в библиотеку. В нем установили книжные шкафы, фонд начал пополняться новыми изданиями. С 1955 года здесь начала работать Миндиярова Ф., которая высоко подняла статус учреждения. В 1996 году библиотека была перенесена в новое здание. С 1987 по 2020 год должность библиотекаря занимала Бариева Д. И. С 2020 года в библиотеке работает Закирова А. Ф. Для читателей регулярно проводятся мероприятия, обзоры новых книг, читательские конференции. Библиотека оказывает не только информационные, но и образовательные, культурные и досуговые услуги, а также старается разнообразить традиционное обслуживание за счет театрализованных представлений, даря читателям веселые праздники. Основные показатели: фонд – 8 017 экземпляров книг;число пользователей – 858 человек.",2021-05-25T21:49:31Z,2023-02-22T10:54:03Z,10:00:00,15:00:00,10:00:00,15:00:00,10:00:00,18:00:00,09:00:00,15:00:00,10:00:00,12:00:00,19:00:00,21:00:00,,
Староюмралинская сельская библиотека,"Респ Татарстан,р-н Апастовский,с Старый Юмралы,ул Вахитова,д 29",48.5959131282434,55.1316993898004,"Староюмралинская сельская библиотека была образована в 1950 году и размещалась в здании клуба. В 1982 году случился пожар. Книги из библиотеки спасли ученики. Затем библиотека перешла в здание сельсовета, а затем в связи с тесными условиями – в Карабаевский сельский клуб. В 1990 году она снова начала работать в Староюмралинском сельском клубе.На сегодняшний день библиотека обслуживает 3 села: Ишеево, Карабаево, Старые Юмралы. Ежегодно обслуживает 520 пользователей (дети, молодежь, пенсионеры).Основное направление работы – продвижение чтения, книги, услуг библиотеки. Населению предоставляется широкий спектр дополнительных услуг. Особое внимание уделяется подрастающему поколению. Ведется массовая работа: проводятся викторины, игры и конкурсы, а также тематические и информационные часы, литературно-музыкальные вечера и праздники.",2021-04-02T12:07:59Z,2023-01-31T13:14:15Z,09:00:00,17:00:00,,,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,17:00:00,09:00:00,13:00:00,09:00:00,13:00:00
Чувашско-Елтанская сельская библиотека – филиал № 33,"Респ Татарстан,р-н Чистопольский,с Чувашский Елтан,ул Школьная,д 17",50.6807649325409,55.0825820295039,"История Чувашско-Елтанской сельской библиотеки началась 1 сентября 1950 года. В настоящее время здесь постоянно оформляются выставки, тематические полки и экспозиции, посвященные знаменательным датам, государственным праздникам. Особое внимание библиотека уделяет экологическому воспитанию. Работает также с краеведческой литературой, использует самые разнообразные формы взаимодействия с посетителями. Внимание читателей привлекают такие выставки по истории района, как «Природы вечная краса», «Татарстан из века в век», «К сокровищам родного слова», «Книжный развал». Библиотечный фонд – 7 778 экземпляров. Количество читателей – 502 человека, посещений – 6 277.",2021-03-24T10:24:50Z,2023-01-27T07:13:06Z,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,17:00:00,10:00:00,15:00:00,,
Иске-Рязапская сельская библиотека,"Респ Татарстан,р-н Спасский,с Иске-Рязап,ул Ленина,зд 39",49.037783,54.973884,"История библиотеки начинается с 1927 года. В те далекие времена она находилась в доме одного крестьянина как изба-читальня. В 1930 году библиотека переехала в здание клуба, построенного из старой мечети, затем в дом первой бригады – в маленькое деревянное здание. В фонде было более 8 000 книг, число читателей – 1 200 человек. В октябре 1975 года в центре села построили новый Дом культуры, библиотека расположилась на первом этаже. Там она находилась вплоть до ноября 2012 года. С апреля 2013 года библиотека находится в здании сельского исполнительного комитета. Книжный фонд составляет 8 000 книг. Библиотека получает 9 наименований газет и 16 наименований журналов. Число читателей – более 660 человек.",2021-03-25T18:01:34Z,2023-02-09T07:37:52Z,08:00:00,16:15:00,08:00:00,16:15:00,08:00:00,16:15:00,08:00:00,16:15:00,08:00:00,16:00:00,,,,
Новомичанская сельская библиотека,"Респ Татарстан,р-н Сабинский,с Новый Мичан,ул Кооперативная,двлд 52",50.269508,56.04305,"Новомичанская сельская библиотека была основана в мае 1955 года. В сентябре 1956 года она получила помещение в колхозном клубе. В 1975 году было построено новое здание для сельского клуба и библиотеки. Книги хранились в деревянном шкафу. Библиотека – информационное, культурно-просветительское и образовательное учреждение деревни. Сотрудники находятся в постоянном поиске новых форм и методов работы с читателями, отвечающих современным требованиям. Для привлечения пользователей и удовлетворения их запросов библиотека использует самые разные формы работы. Большую роль в обслуживании играют тематические выставки. На сегодняшний день библиотека насчитывает 7 736 экз. книг. Книги для детей и взрослых расположены в алфавитном порядке отдельно на татарском и русском языках.",2022-03-03T10:32:15Z,2023-03-22T11:51:06Z,13:00:00,22:00:00,13:00:00,22:00:00,13:00:00,22:00:00,13:00:00,22:00:00,13:00:00,22:00:00,13:00:00,22:00:00,,
Миннибаевская сельская библиотека – филиал № 39,"Респ Татарстан,р-н Альметьевский,с Миннибаево,ул Ш.Бикчурина,зд 50",52.232902,54.815835,"Миннибаевская сельская библиотека была открыта 1 июня 1957 года в маленьком деревянном домике, книжный фонд в то время включал около 79 экземпляров. Первым библиотекарем была Жинан Ахметшина, окончившая педагогические курсы города Бугульмы. В период ее работы количество книг увеличилось до 3 951 экземпляра. Она работала до 1963 года, старожилы села до сих пор вспоминают ее с восхищением.В 1985 году библиотека переехала в двухэтажное здание Дома культуры, где для нее было выделено помещение площадью 75 кв. м. Это был огромный праздник для коллектива и читателей. Новое помещение отличали высокие потолки и просторные, светлые залы. Заведующая – Лилия Муллахметовна Габдуллина. Фонд включает около 11 000 экземпляров книг, выписываются газеты и журналы. Библиотека обслуживает детей дошкольного возраста, школьников, рабочих и служащих, студентов и пенсионеров. Проводятся разнообразные массовые мероприятия: для младших школьников – утренники, экскурсии, познавательные часы, для старших – библиотечные уроки, обсуждения книг, тематические часы. Установлен компьютер, для удобства читателей проведен интернет. Количество юных читателей – 171, взрослых – 546. Посещений за год – около 6 000. Библиотека тесно сотрудничает с Домом культуры, администрацией, детским садом, школой.",2021-04-12T14:32:58Z,2023-08-29T09:48:34Z,,,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00,12:00:00,18:00:00
Мичуринская сельская библиотека – филиал № 16,"Респ Татарстан,р-н Лениногорский,п им. Мичурина,ул Советская,д 28",51.8335155746832,54.5583346868285,"Мичуринская сельская библиотека открылась в 1961 году. В 2015 году в Республиканском конкурсе на лучшее учреждение культуры села она была признана лучшей сельской библиотекой и получила правительственный грант. Книжный фонд – более 13 тысяч экземпляров. Библиотека за год обслуживает 300 читателей. Ее деятельность нацелена на повышение интереса детей и молодежи к изучению истории своего края. При участии работников Дома культуры в библиотеке проводятся литературные вечера, викторины, обзоры, диспуты. На базе учреждения ведут работу кружки «Сценическое искусство», «Я и мои друзья», «Народное декоративно-прикладное искусство народов Татарстана» и «Умелые руки», занятия которых с большим удовольствием посещают дети и молодежь. В библиотеке есть компьютер с доступом к интернету, копировально-множительная техника.",2021-04-02T08:17:42Z,2023-02-20T14:11:11Z,15:00:00,18:00:00,15:00:00,18:00:00,15:00:00,18:00:00,13:00:00,18:00:00,13:00:00,18:00:00,15:00:00,18:00:00,,
"Куш-Елгинская сельская библиотека, филиал № 19","Респ Татарстан,р-н Заинский,с Куш-Елга,ул Закира Салимова",52.198775,55.441749,"Как изба–читальня была открыта приблизительно в 1934 году. В настоящее время Куш-Елгинская сельская библиотека расположена в здании сельского клуба. Библиотека пользуется популярностью среди жителей села. Обслуживает население с. Куш-Елга и Шикмамаево. Для читателей проводятся разные массовые мероприятия, акции, книжные выставки, творческие вечера. Тесно взаимодействует со всеми категориями граждан. Библиотека дает возможность детям и взрослым провести время с пользой. Имеется компьютер с выходом в интернет, где любой желающий может получить необходимую информацию. Фонд библиотеки состоит из 7402 экземпляров, за год обслуживается 284 читателя.",2022-04-07T12:08:16Z,2023-01-31T12:13:14Z,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,,
Новоалимовская сельская библиотека,"Респ Татарстан,р-н Актанышский,с Новое Алимово,ул Г.Тукая,д 53",54.036216,55.677209,"Изба-читальня в селе Новое Алимово была образована в 1933 году. В 1938 году библиотеку разместили в обновленном клубе. Ее называли красным уголком. В 1960 году библиотека переехала в двухкомнатное деревянное здание площадью 52 кв. м. В июне 1980 года она разместилась на втором этаже Дома культуры. По сей день библиотека обслуживает население. В фонде насчитывается 16 910 экземпляров книг и брошюр. Количество читателей – 1 000, из них 173 – дети до 14 лет. Библиотека выдает около 21 000 книг за год. В читальном зале, вмещающем 20 мест, проводятся выставки, акции, тематические встречи. Читатели ходят в библиотеку охотно и с интересом.",2022-02-11T07:39:24Z,2023-06-23T06:44:17Z,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,08:00:00,16:00:00,,
