creators,title,description,geoContext,minDate,maxDate,latitude,longitude
E.W. Haley,Arboukale/Albocela,"An ancient place, cited: BAtlas 24 F3 Arboukale/Albocela",El Alba de Villalazán?,-330,640,41.525944,-5.394988
"C. Haselgrove, J. Kunow",Altrier,"An ancient place, cited: BAtlas 11 G3 Altrier","Altrier, LUX",-30,2100,49.750289,6.327856
R. Müller Wollermann,Peretnouis/Pheretnouis,"An ancient place, cited: BAtlas 75 D4 Peretnouis/Pheretnouis",Bardanuha,-30,640,28.43333,30.733332
D.J. Mattingly,Medinet Bu Hindi,"An ancient place, cited: BAtlas 38 D1 Medinet Bu Hindi",Medinet Bu Hindi,-30,640,32.265016,22.413301
"C. Foss, S. Mitchell",Colossae,"An ancient place, cited: BAtlas 65 B2 Colossae",near Honaz,-550,640,37.7930956667,29.2580716667
"C. Foss, S. Mitchell",Karkabo,"An ancient place, cited: BAtlas 65 D5 Karkabo",Alakilise,300,640,36.338342,30.018321
"C. Foss, G. Reger",Leros,"An ancient place, cited: BAtlas 61 D3 Leros",on Leros GRE,-750,640,37.158037,26.854663
B. Isaac,Elousa,"An ancient place, cited: BAtlas 70 F3 Elousa","Haluza, Khalasa",-330,640,31.0968623154,34.6551246695
P. Galliou,Argentan,"An ancient place, cited: BAtlas 7 F3 Argentan",Argentan,-30,640,48.741953,-0.025371
"L. Quilici, S. Quilici Gigli",Labicum,"Originally a member of the Latin League, the city of Labicum was taken by the Romans ca. 418 B.C. By the time of Augustus, the site was almost certainly deserted and its precise location remains debated today.",Colonna,-750,2100,41.8204265,12.7432045
R.B. Hitchner,Henchir-Bou-Zitouna,"An ancient place, cited: BAtlas 32 G3 Henchir-Bou-Zitouna",Henchir-Bou-Zitouna,-30,640,36.795259,10.845206
J.J. Wilkes,Goražde,"An ancient place, cited: BAtlas 21 A6 Goražde","Goražde, BOS",-30,640,43.67068,18.975308
R. Müller Wollermann,Ophis?,"An ancient place, cited: BAtlas 75 D3 Ophis?",Aba el-Waqf,-30,640,28.5854,30.770392
G.D. Woolf,Arcy-sur-Cure,"An ancient place, cited: BAtlas 18 A2 Arcy-sur-Cure",Arcy-sur-Cure,-330,640,47.5979615,3.765971
E.N. Borza,Bourdepa,"An ancient place, cited: BAtlas 51 G1 Bourdepa",Svilengrad BUL,-30,640,41.774648,26.212932
"H.S. Sivan, R.W. Mathisen",Limonum,"An ancient place, cited: BAtlas 14 F2 Limonum",Poitiers,-330,2100,46.5836465,0.3459905
"A. Hausleiter, M. Roaf, St J. Simpson, R. Wenke",U914,"An ancient place, cited: BAtlas 93 B1 U914","U914, IRQ",-550,640,32.181921,45.136549
"J. Fossey, J. Morin",Teumessos,"An ancient place, cited: BAtlas 55 E4 Teumessos",Mesovouni,-750,640,38.357554,23.382283
"J. Kunow, C. Haselgrove",Argentovaria?,"An ancient place, cited: BAtlas 11 H4 Argentovaria?",Biesheim-Kunheim,-30,640,48.0512685,7.545778
P. Galliou,Caen,"An ancient place, cited: BAtlas 7 F2 Caen",Caen,-30,640,49.184162,-0.360669
"H.S. Sivan, S.J. Keay, R.W. Mathisen",Ensérune,Ensérune was an oppidum located between Béziers and Narbonne. It was occupied between the sixth century B.C. and the first century A.D.,"Ensérune, FRA",-750,2100,43.3098033697,3.11112838095
E.W.B. Fentress,Vahartanenses,"An ancient place, cited: BAtlas 31 D3 Vahartanenses",Mechta Skaif,-30,640,36.550096,5.983386
