name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to,dedication
Организационно-методический отдел детской библиотеки им. А. П. Гайдара,"г Москва,г Москва,пер Ружейный,д 4",37.580894,55.743553,"Старейшая детская библиотека Москвы, фонд которой насчитывает сейчас более 250 000 экземпляров. Она открылась в 1934 году на базе библиотеки-читальни имени Ключевского и поначалу занимала небольшое помещение из нескольких комнат. В настоящее время библиотека является современным культурным центром. В фондах собраны книги, периодические издания, аудиокниги. Уже несколько лет работникам библиотеки помогают два робота – Чук и Гек, названные в честь героев повести Гайдара. В библиотеке есть свой Книжный театр, литературный клуб, проходят выставки и конкурсы, мастер-классы, действуют творческие студии и кружки. Особое внимание сотрудники уделяют работе с детьми с ограниченными физическими возможностями. Отдел организует мероприятия по повышению квалификации сотрудников детских библиотек, участвует в подготовке изданий в помощь работе детских и школьных библиотек, располагает специализированным фондом методико-библиографических материалов и профессиональной периодики по всем направлениям библиотечной работы с детьми и подростками.Отдел занимается художественно-экспозиционной деятельностью. Здесь располагается выставочный зал «Вернисаж в Ружейном», проводятся выставки, презентации, творческие встречи.",Москва,2015-07-27T07:11:07Z,2023-02-21T08:32:24Z,32400,64800,32400,64800,32400,64800,32400,64800,32400,64800,NA,NA,NA,NA,им. А. П. Гайдара
Библиотека № 23 имени М. Горького (филиал № 1),"г Москва,г Москва,ул Тимирязевская,д 17",37.566728,55.812408,"Библиотека открыта в 1902 году Московским столичным попечительством о народной трезвости при содействии градоначальника В. Ф. Джунковского и участии М. А. Сабашниковой и находилась при Бутырском Народном доме (ул. Вятская, д. 50). Имела название «Читальня им. В. А. Жуковского». В 1934 году библиотеке присвоено имя Максима Горького.Универсальный фонд библиотеки включает около 60 тысяч единиц хранения.Библиотека обслуживает взрослое население района, продолжая свои просветительские традиции. Это настоящая творческая площадка для проведения музыкальных и выставочных программ, интересных встреч, вечеров, презентаций. Библиотека участвует в реализации городской программы «Московское долголетие». Более 18 творческих сезонов работает Есенинская литературно-музыкальная гостиная, пользующаяся большой популярностью у самодеятельных и профессиональных поэтов и музыкантов. Для любительниц домоводства и рукоделия открыта творческая мастерская «Девичьи посиделки». В библиотеке создан мемориальный комплекс, включающий Мемориальную комнату, мемориальный фонд: документы о жизни и творчестве М. Горького, прижизненные издания сочинений писателя, издания произведений на языках народов мира, постоянно действующая книжная экспозиция.Библиотека принадлежит ГБУК г. Москвы «ОКЦ САО».",Москва,2015-07-27T01:52:52Z,2023-02-21T09:34:14Z,NA,NA,39600,70200,39600,70200,39600,70200,39600,70200,39600,70200,NA,NA,им. М. Горького
Центральная библиотека № 70 имени М. А. Шолохова,"г Москва,г Москва,ул Халтуринская,д 18",37.726313,55.80481,"Библиотека № 70 им. М. А. Шолохова – центральная библиотека Государственного бюджетного учреждения культуры города Москвы «Централизованная библиотечная система Восточного административного округа».Библиотека ведет свою работу с 1940 года. На протяжении всего времени в библиотеке ведется активная просветительская и культурная деятельность, неоднократно отмеченная Министерством культуры. Библиотека была награждена медалью ВДНХ. Сотрудники библиотеки в своей работе с читателями серьезное внимание обращают на большое количество имеющейся в фондах библиотеки литературы, особенно на классическую, и на лучшие произведения советских писателей, среди которых особое место занимает М. А. Шолохов. В библиотеке проводились популярные «Шолоховские чтения», традиция которых сохранилась и по сей день. Правительство оценило эту работу, в 1984 году Постановлением Совета Министров РСФСР присвоило библиотеке имя Михаила Александровича Шолохова.К 100-летию со дня рождения писателя библиотека создала и открыла историко-литературный музей Михаила Шолохова «Жизнь, творчество и трагедия великого русского писателя».Еще одним большим преимуществом библиотеки является концертный зал, вмещающий более 130 человек. Совместная работа библиотеки с писателями и артистами московских театров воплотилась в создании работавшего на базе библиотеки «Театра одного актера», открывал который Марк Захаров. На сцене концертного зала библиотеки шли моноспектакли при участии звезд театральной Москвы: Н. Гундарева, Н. Сазонова, Т. Васильева, Л. Дуров, Э. Виторган, С. Фарада и др.В настоящее время Центральная библиотека № 70 им. М. А. Шолохова – учреждение нового типа, в котором традиционные библиотечные формы работы легко сочетаются с широким представлением электронных информационных услуг, досуговой и культурно-массовой деятельностью.Общий фонд библиотеки составляет: книжный фонд – 218 547 экз., журналов – 12 481 экз., медиаресурсы – 1 045 дисков.Направления работы библиотеки: культурно-массовые / просветительские / образовательные мероприятия;интеллектуальные клубы;досуговые мероприятия / студии для детей и молодежи;творческое пространство для реализации арт-проектов;выставочная деятельность / формирование ретро-фонда;консультативная деятельность.В библиотеке действует свободная зона Wi-Fi.Читатели библиотеки имеют уникальную возможность прямо из дома работать с ресурсами электронно-библиотечной системы «ЛитРес Библиотека» – достаточно зарегистрироваться в личном кабинете.Библиотека входит в программу «Безбарьерная среда» и доступна для слабовидящих и маломобильных граждан.Для всех посетителей библиотеки доступны услуги по цветной и черно-белой печати, сканирования, ксерокопирования, ламинирования и др.Залы и службы:отдел обслуживания (детская и взрослая литература);компьютерный класс;центр деловой и социально-правовой информации;информационно-библиографический отдел;отдел маркетинга и арт-проектов;отдел развития и методической деятельности;историко-литературный музей М. А. Шолохова;концертный зал.",Москва,2015-07-22T16:35:23Z,2023-02-22T09:50:32Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,им. М. А. Шолохова
Центр американской культуры,"г Москва,г Москва,ул Николоямская,д 1",37.648133,55.748235,"Центр американской культуры предоставляет библиотечные и информационные услуги, а также является местом проведения культурных программ.В библиотеке Центра большой выбор книг и журналов, DVD фильмов и аудиоматериалов. У нас вы можете найти общую информацию о США, а также книги по всем гуманитарным наукам, художественную литературу, учебники английского языка, техническую литературу, энциклопедии, справочники и словари. В нашем читальном зале любой желающий может работать со всеми материалами центра. А оформив читательский билет, вы сможете брать эти материалы на дом.В нашем центре проходит большое количество мероприятий: тематические лекции по различным областям знаний; показы художественных и документальных фильмов на английском языке; встречи с носителями языка; заседания клубов по интересам, мастер-классы по различным видам творчества и многое другое.",Москва,2015-10-20T10:43:03Z,2016-02-09T09:38:28Z,39600,74700,39600,74700,39600,74700,39600,74700,39600,74700,39600,67500,39600,67500,NA
Центральная детская библиотека № 46 им. И. З. Сурикова – филиал № 3,"г Москва,г Москва,ул Коптевская,д 26",37.523097,55.835341,"Библиотека начала свою работу в мае 1938 года. В настоящее время входит в состав Центральной детской библиотеки № 46 им. И. З. Сурикова как библиотека, обслуживающая взрослое население. Универсальный фонд библиотеки насчитывает 44 860 единиц хранения. Библиотека тесно сотрудничает с Московской городской организацией Всероссийского общества слепых в «Коптево», Территориальным центром социального обеспечения района. Для подопечных этих организаций проводится большое количество культурных и просветительских мероприятий. В библиотеке несколько лет работает клуб «Ретро».Библиотека принадлежит ГБУК г. Москвы «ОКЦ САО».",Москва,2015-07-27T02:53:06Z,2023-02-21T08:29:33Z,NA,NA,39600,70200,39600,70200,39600,70200,39600,70200,39600,70200,NA,NA,им. И. З. Сурикова
Культурный центр имени В. Я. Вульфа,"г Москва,г Москва,пер Банный,д 4",37.637811,55.785675,"История библиотеки насчитывает более 77 лет. За эти годы читальня сменила несколько адресов и, наконец, обосновалась в тихом московском Банном переулке.В конце 2011 года библиотека получила имя выдающегося деятеля российской культуры – телеведущего, кинокритика, писателя, переводчика, автора программы «Мой серебряный шар» Виталия Яковлевича Вульфа. В Культурном центре имени В. Я. Вульфа воссоздан рабочий кабинет знаменитого телеведущего. При содействии наследников Вульфа библиотека получила в дар часть его коллекции книг, которая доступна читателям. Еженедельно здесь проводятся экскурсии по экспозиции кабинета и ретропоказы выпусков программы «Мой серебряный шар».Помимо традиционных выставок, концертов, круглых столов, экскурсий и мастер-классов, здесь проходят выступления ярких представителей искусства, народных и заслуженных артистов, лауреатов различных престижных конкурсов, популярных писателей.Залы центра украшают экспозиции творческих работ современных московских живописцев. На сцене театрального зала Культурного центра имени В. Я. Вульфа выступали Федор Чеханков, Ирина Долженко, Виталий Гребенников, Ольга Прокофьева, Авангард Леонтьев, Галина Коновалова, Алла Демидова, Ирина Мирошниченко, Элина Быстрицкая, Сергей Арцибашев, Олег Рой, Мария Метлицкая, Диана Машкова и многие другие.Дают концерты, спектакли и представления молодые музыкальные и театральные коллективы и исполнители. Действует клуб любителей киноискусства, лекции в котором читает соавтор Виталия Вульфа, журналистка и писательница Серафима Чеботарь.Сегодня Культурный центр имени В. Я. Вульфа по праву считается городской площадкой, где могут собираться истинные любители литературы, театра и кино.Фонд библиотеки на начало 2022 года – 28 146 единиц хранения.",Москва,2016-04-05T13:08:49Z,2023-02-21T07:46:37Z,NA,NA,36000,79200,36000,79200,36000,79200,36000,79200,36000,79200,36000,72000,им. В. Я. Вульфа
Библиотека № 75 имени А. С. Серафимовича (детский сектор),"г Москва,г Москва,ш Открытое,д 24",37.756838,55.827788,"Почти 50 лет назад библиотека имени А. С. Серафимовича получила прописку в районе Метрогородок. В библиотеке было решено создать мемориальную экспозицию, посвященную жизни и творчеству наставника молодого донского писателя М. А. Шолохова – А. С. Серафимовича. Начался поиск и сбор документов, фотографий. Работа в московских архивах продолжается.В библиотеке работают абонемент и читальный зал. Книжный фонд – более 46 тысяч экземпляров. Это книги, рассчитанные на читателей от 14 лет. Но это не значит, что все читатели – это старшеклассники и взрослые. В библиотеке есть литература и для самых маленьких. Специально для малышей создан детский уголок. Пока родители выбирают литературу для себя, ребенок может поиграть, посмотреть интересные книжки, порисовать. Также есть компьютерный класс с доступом к интернету.Особенно много внимания библиотека уделяет трудным подросткам. Специально для них организуются встречи с интересными людьми, писателями, журналистами, литераторами, проходит цикл литературно-художественных чтений.Много внимания библиотека уделяет выставочной работе. Небольшой выставочный зал демонстрирует картины, посвященные общественным деятелям, благотворительным миссиям, людям прошлого.В библиотеке работают как бесплатные, так и платные кружки для детей и взрослых: кружок по рукоделию «Веселые петельки», кружки изобразительного искусства, изучения иностранных языков и актерского мастерства.",Москва,2015-07-22T16:24:51Z,2023-02-28T09:26:46Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,им. А. С. Серафимовича
Библиотека № 42 имени А. П. Платонова,"г Москва,г Москва,ул Усиевича,д 16",37.524336,55.806737,"Библиотека открылась для читателей в 1954 году. В 1990 году ей было присвоено имя писателя Андрея Платонова. С этого времени библиотека специализируется на пропаганде творческого наследия А. Платонова, постоянно пополняется произведениями писателя и литературой о его творчестве, проводятся платоновские уроки, литературные вечера, концерты, оформляются выставки, стенды.Универсальный фонд библиотеки включает 57 860 единиц хранения. Выделен фонд о жизни и творчестве писателя А. Платонова и его произведения (~ 1 800 экз.).На базе библиотеки в 1999 году создан клуб любителей поэзии «Северное сияние» жителей района «Аэропорт», с 2009 работает литературная гостиная Московского салона литераторов «Воскресный калейдоскоп», где ежемесячно проходят встречи с писателями, артистами, музыкантами.Библиотека принадлежит ГБУК г. Москвы «ОКЦ САО».",Москва,2015-07-27T02:47:21Z,2023-02-21T08:28:12Z,NA,NA,39600,70200,39600,70200,39600,70200,39600,70200,39600,70200,NA,NA,им. А. П. Платонова
Библиотека № 184 г. Москва,"г Москва,г Москва,ул Академика Варги,д 38",37.47951,55.632982,"Универсальный книжный фонд библиотеки – более 40 тысяч томов – отвечает самым разнообразным вкусам. Работает отдел краеведения, создана экспозиция «Культурное и историческое наследие Москвы». В стенах библиотеки постоянно проходят встречи с писателями и поэтами, читательские конференции, музыкальные вечера, просмотры художественных и документальных фильмов. В отделе информационных ресурсов можно получить помощь в учебе (интерактивные учебники, лекции, рефераты), ознакомиться с анонсами культурных мероприятий, принять участие в онлайн-семинарах и лекциях. Постоянно работает группа обучения компьютерной грамотности для пенсионеров и инвалидов.",Москва,2015-07-27T08:39:43Z,2023-02-21T06:44:21Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека № 89,"г Москва,г Москва,ул 9 Мая,д 14",37.8673088550568,55.8171417950742,"Главным направлением работы библиотеки многие годы остается поддержка традиций семейного чтения, основанных с рождением Восточной водопроводной станции в апреле 1940 года и обустройством населения вокруг нее. Библиотека была организована в клубе, позже она заняла 2 комнаты в здании почты. В 1963 году переехала в помещение первого этажа жилого дома, что позволило открыть детское отделение и читальный зал, в котором по сей день регулярно проводятся массовые мероприятия, собирающие читателей всех категорий и возрастов. На базе библиотеки организованы клубы «Подросток и закон», «Бунинские чтения» и «Духовный калейдоскоп», которые привлекают к сотрудничеству многие учреждения района и постоянных читателей.Абонемент – самый объемный отдел. Большой выбор представленной литературы отвечает почти всем запросам жителей района. Читальный зал представлен как уютная гостиная с часто меняющейся обстановкой. Для разных массовых мероприятий ежемесячно создается определенный интерьер, соответствующий характеру проведения и возрастной категории посетителей. Здесь проходят заседания клубов и кружков.Детское отделение помогает юным читателям найти свой книжный островок по интересам. Младшей, средней и старшей группам предлагается самая разнообразная литература и участие в творческой мастерской.Фонд библиотеки насчитывает около 40 тысяч печатных экземпляров по всем отраслям знаний, есть аудио- и видеоматериалы, периодические издания для взрослых и детей.",Москва,2015-07-22T20:15:31Z,2023-02-28T09:37:13Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,75600,NA
