name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to,dedication
Библиотека № 76 имени М. Ю. Лермонтова,"г Москва,г Москва,ул Барболина,д 6",37.687587,55.786328,"Библиотека № 76 им. М. Ю. Лермонтова в Сокольниках – открытое пространство книг и информации для москвичей и гостей города. Это интеллектуальный, творческий и культурный центр, в котором собираются люди разного возраста, профессий, национальностей и взглядов, объединенных одной целью познания литературы и искусства, стремлением выразить себя в творчестве, желанием найти друзей и единомышленников.Изначально библиотека-читальня была открыта в 1919 году в доме у Красных ворот, где родился великий русский поэт. В 80-е годы библиотека переехала в Сокольники (ул. Барболина, 6), где размещается в настоящее время.Общий фонд библиотеки им. М. Ю. Лермонтова насчитывает более 250 тысяч экземпляров печатных изданий, сюда записано более 14 тысяч читателей, в год проводится до 150 мероприятий различного формата и тематики.Библиотека оборудована специальной техникой для людей с ослабленным зрением (увеличитель TOPAZ и читающая машина SARA).В библиотеке имеются компьютерный зал и зоны Wi-Fi.«Лермонтовка» – так с любовью называют библиотеку те, кто приходит на встречи с писателями, театральные спектакли, поэтические вечера, вечера авторский песни, «Лермонтовские субботы», выставочные вернисажи, мастер-классы, занятия студий и клубов. Несмотря на свой солидный возраст, библиотека полна творческих идей и планов.Абонемент делится на отделы:– художественной литературы и литературоведения,– литературы на иностранных языках,– технической литературы + компьютерный зал,– отраслевой литературы.Весь фонд находится в открытом доступе.Кружки и клубы в библиотеке (клубно-досуговые формирования):– «Флора» – студия флористического коллажа. Флористика привлекает творческих людей возможностью выразить себя, украсить интерьер квартиры своими работами, сделать неповторимый подарок своими руками. Два раза в месяц с сентября по май, с 18 до 60 лет, бесплатно.– «Литературно-музыкальный салон в Сокольниках». Объединяет любителей литературы, музыки и театра. В концертных программах принимают участие профессиональные творческие коллективы и студенты музыкальных вузов столицы. Один раз в месяц с сентября по май, с 50 до 80 лет, бесплатно.– Молодежный театр им. М. Ю. Лермонтова. Это творческий союз молодых профессиональных актеров, постоянно совершенствующих свое мастерство. Театр – участник акций «Библионочь», «Ночь искусств», День города Москвы. Восемь раз в месяц с сентября по май, с 25 до 40 лет, бесплатно.– Межрегиональное общественное объединение «Лермонтовское общество». Занимается изучением и популяризацией творчества М. Ю. Лермонтова, сохранением литературного наследия и мест пребывания поэта, научно-практической деятельностью по организации и проведению Московских Лермонтовских чтений и изданию «Московского Лермонтовского сборника», культурными связями с музеями и библиотеками России, организует встречи с писателями и деятелями культуры, проявляющими интерес к творчеству М. Ю. Лермонтова, поддерживает тесные связи с потомками древнего рода Лермонтовых, проводит ежегодные экскурсии по Лермонтовским местам. Каждая третья суббота месяца – «Лермонтовская суббота». Для членов общества существуют членские взносы. Один раз в месяц с сентября по май, с 18 до 85 лет, бесплатно.",Москва,2015-07-22T21:21:06Z,2023-02-21T13:59:26Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,им. М. Ю. Лермонтова
Библиотека № 267 имени Н. К. Крупской (пункт книговыдачи на ул. Бахрушина),"г Москва,г Москва,ул Бахрушина,д 4",37.634003,55.736442,"Свою историю Библиотека имени Н.К. Крупской начала с 1919 года. За столетний период своего существования библиотека неоднократно меняла места своего расположения, номера, статус. Библиотека носит имя женщины, оставившей след в истории развития библиотечного дела и школьного образования – Надежды Константиновны Крупской. Основные направления деятельности – продвижение чтения у детей и подростков, воспитание патриотизма, помощь в саморазвитии и самообразовании, выявление творческих способностей, путем проведения мастер-классов, мероприятий творческой направленности и проектной деятельности, с привлечением читателей и пользователей библиотеки. В настоящее время на улице Бахрушина находится пункт выдачи для читателей района. Основное здание библиотеки по улице Большая Спасская, 31 находится на ремонте. Фонд библиотеки, как и ее основная деятельность, находится в стадии формирования.",Москва,2015-07-26T22:04:12Z,2023-02-27T09:51:36Z,NA,NA,36000,75600,36000,75600,36000,75600,36000,75600,39600,75600,36000,72000,им. Н. К. Крупской
Детский отдел библиотеки № 172 г. Москва,"г Москва,г Москва,ул Новаторов,д 14",37.523088,55.667188,"Библиотека расположена в двух соседних корпусах и состоит из детского и взрослого отделов. Оба отдела обладают уникальным книжным фондом, организуют культурные программы для жителей Обручевского района, проводят лекции, концерты, игры, экскурсии. Детский отдел библиотеки – это удобное, комфортное для посещения место досуга и образования для всей семьи. Для детей младшего возраста здесь организована игротека. Много внимания библиотека уделяет людям с ограниченными возможностями и социально незащищенным слоям населения. Сотрудниками библиотеки проводятся выездные мероприятия в школах, гимназиях, ЦСО и других организациях.",Москва,2015-07-27T08:49:20Z,2023-02-21T06:43:34Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека № 13 имени Н. Г. Чернышевского,"г Москва,г Москва,ул Татарская Б.,д 32",37.633113,55.738328,"Библиотека ведет свою историю с 1901 года. Свое нынешнее наименование получила в соответствии с приказом Департамента культуры города Москвы от 17 сентября 2014 года «Об упорядочении наименований государственных публичных библиотек Департамента культуры города Москвы» в связи начавшимся процессом оптимизации сети библиотек, подведомственных Департаменту культуры города Москвы.В читальне представлена мемориальная экспозиция, посвященная жизни и творчеству Н. Г. Чернышевского. В фонде библиотеки представлена универсальная литература по всем отраслям знаний. Важная часть библиотечной коллекции изданий – фонд литературы до 1960-х годов XX века.Фонд библиотеки составляет на конец 2017 года 92 724 единицы хранения. Библиотеку за прошлый год посетило 25 827 читателей.",Москва,2015-07-26T22:08:00Z,2023-02-21T07:28:51Z,NA,NA,36000,79200,36000,79200,36000,79200,36000,79200,36000,79200,36000,72000,им. Н. Г. Чернышевского
Библиотека № 74,"г Москва,г Москва,ул Краснобогатырская,д 77",37.707296,55.805943,"Библиотека № 74 является одной из старейших библиотек Москвы. В январе 1916 года библиотека-читальня распахнула свои двери. Библиотека не раз переезжала, в 1972 году получила помещение общей площадью 1 400 кв. м, в котором находится и по сей день.У библиотеки существует своя эмблема, закрепившая в девизе: «С книгой сквозь время и технологии!».В настоящее время – это крупная универсальная библиотека, ее книжный фонд составляет 96 тысяч единиц хранения, а количество обслуживаемых читателей – более 5 000 тысяч человек.К услугам современного пользователя:абонемент на 70 тыс. единиц хранения, из них 40 тыс. ед. находятся в открытом доступе;уютный читальный зал;компьютерный класс с выходом в интернет (Интернет-класс) и медиатекой;концертный зал на 50 мест;зал для проведения круглых столов и конференций;библиотека-передвижка в КЦСО района Богородское;два сектора детской литературы.Созданы комфортные условия и для читателей с ограниченными возможностям: входные группы оборудованы пандусами, в холле есть место отдыха для колясочников, в читальном зале и интернет-классе имеются места для людей с проблемами опорно-двигательного аппарата, сан. узлы снабжены перилами и крючками для трости, для слабовидящих в читальном зале установлен аппарат тифлотехники Sara.Библиотека предоставляет платные услуги по копированию (на бумажный носитель, CD, USB), ламинированию, сканированию, набору текстов и т. п.В холле библиотеки проходят регулярные выставки творчества читателей.Все занятия в кружках и клубах бесплатные:клуб любителей родного края с одноименным названием (6+). Встречи проходят каждое второе воскресенье месяца в 13:00;клуб «Помоги себе сам!» (14+) работает для людей, оказавшихся в сложной ситуации и нуждающихся в социокультурной поддержке работает. Встречи проходят каждое последнее воскресенье в 13:00;клуб людей старшего поколения «Зеркало души» (25 и старше) призван объединить творческих людей района Богородское и помочь им в организации досуга, ликвидировать чувство одиночества. Посетить заседание клуба можно каждую третью среду месяца в 15:00;клуб «Белый король» (14+) объединяет любителей игры в шахматы. Руководитель клуба – директор издательства «Русский шахматный дом», профессиональный шахматист Аманназаров М. А. Занятия проходят в 17:00 каждый первый вторник месяца.",Москва,2015-07-22T16:32:11Z,2023-02-28T08:45:50Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Центральная городская молодежная библиотека имени М. А. Светлова. Медиацентр,"г Москва,г Москва,ул Садовая Б.,д 1",37.5909823179245,55.7665249002657,"Центральная городская молодежная библиотека имени М. А. Светлова – первая в Москве и одна из старейших в России библиотек для молодежи. Появившись в апреле 1941 года, библиотека открыла свои двери читателям и больше не закрывала их. Сегодня библиотека, известная также как Светловка, – современный информационно-культурный центр для молодежи. Светловка располагает универсальным книжным фондом, широким диапазоном периодических изданий, коллекцией грампластинок, нот, научно-популярных и художественных фильмов, альбомов репродукций. Библиотека оснащена информационными ресурсами: электронным каталогом, станциями самостоятельного обслуживания на основе RFID-технологий, ннтернетом и Wi-Fi-зоной.В молодежном медиацентре читателей ждет фонд с современной научно-популярной литературой, новинки по саморазвитию, учебная и художественная литература на иностранных языках, свежие периодические издания, настольные игры. Также здесь проходят встречи с медийными личностями, лекции в формате public talk, музыкальные концерты, игротеки с современными настольными играми, читки, выставки картин. В помещениях медиацентра работает бесплатный Wi-Fi, установлена станция самообслуживания, предоставляются услуги печати, сканирования, ксерокопирования и другие.В медиацентре есть коворкинг, студия для занятий музыкой (на фортепьяно), лекторий для мероприятий и медиатека с играми и литературой на иностранных языках.",Москва,2015-07-27T06:52:07Z,2023-02-17T09:26:11Z,NA,NA,36000,75600,36000,75600,36000,75600,36000,75600,36000,75600,36000,72000,им. М. А. Светлова
Библиотека № 182 (филиал № 2) г. Москвы,"г Москва,г Москва,ул Новочерёмушкинская,д 4",37.586859,55.690187,"Библиотека открыла свои двери для посетителей в 1937 году и имеет статус библиотеки семейного чтения. Универсальный фонд включает 53 196 единиц хранения. С 1986 года каждую среду в 18:00 в одной из старейших библиотек ЮЗАО в теплой и уютной обстановке собирается на свои заседания литературно-творческий и культурологический клуб «Образ и мысль». Одним из его основателей является почетный читатель Юго-Западного округа Валентин Герман. Клуб объединяет представителей разных профессий – литературоведов и химиков, философов и математиков, социологов, прозаиков. В библиотеке работает очень интересная и полезная для детей и родителей изостудия «Акварельки». После ремонта в феврале 2022 года площадка представляет собой молодежный культурный центр, где проводятся разного рода мероприятия – от молодежных встреч о путешествиях до мастер-классов и концертных программ. Площадка представляет собой зал-трансформер вместимостью до 50–55 человек. В зале есть большой широкоформатный экран и качественный комплект звукового оборудования.",Москва,2016-04-08T06:26:21Z,2023-02-20T13:25:00Z,NA,NA,43200,72000,43200,72000,43200,72000,43200,72000,43200,72000,NA,NA,NA
Библиотека № 187 г. Москвы,"г Москва,г Москва,ул Островитянова,д 19/22",37.5108439497375,55.6388124574538,"Библиотека расположена в одном из самых красивых и зеленых районов Москвы – Коньково. В фонде библиотеки выделен отдел литературы по искусству, в котором хранятся альбомы с репродукциями знаменитых художников, книги по истории искусств, биографии известных живописцев. Совокупный фонд библиотеки составляет 33 554 единиц хранения. Сотрудники библиотеки активно участвуют в эстетическом и творческом воспитании жителей Юго-Западного округа. Здесь проходят спектакли, концерты, встречи с известными людьми района, организуются лекции по истории, мастер-классы. Ежегодно библиотеку посещают более шести с половиной тысяч человек.Библиотека осуществляет обслуживание жителей Пансионата ветеранов Великой Отечественной войны «Коньково». В помещении библиотеки работает выставочный зал и студия детской галереи «Изопарк».",Москва,2015-07-27T08:20:41Z,2023-03-10T10:17:11Z,NA,NA,43200,79200,43200,79200,43200,79200,43200,79200,43200,79200,43200,72000,NA
Библиотека № 243 «Образ» г. Москвы,"г Москва,г Москва,ул Академика Бочвара,д 2",37.462011,55.807233,"Бывшая библиотека № 45 была основана в 1936 году как библиотека № 37 Ленинградского района. В январе 1961 года, в связи с изменением административно-территориального деления районов Москвы, библиотека № 37 была отнесена к Краснопресненскому району. 9 мая 1961 года она получила другое наименование – массовая библиотека № 45 Краснопресненского района. 26 июня 2018 года состоялось торжественное открытие в формате «точки роста» проекта «Библиотека «Образ». Основная специализация – популяризация всех видов изобразительного искусства, в том числе технических искусств (фотография, киноискусство, ТВ). В библиотеке каждый человек, желающий получить основные навыки изобразительного искусства, фотографии, киноискусства, сможет реализовать себя через участие в творческих мастерских, лекциях, образовательных мероприятиях. Объем фонда – 51 966 экземпляров, количество посещений – 18 824. В библиотеке работают молодежное творческое объединение «Поиск», субботний клуб по интересам «Литературно-творческое объединение «Сияние лиры», субботний клуб по интересам «Семейные встречи».",Москва,2015-07-23T23:13:11Z,2023-02-17T13:23:05Z,NA,NA,43200,79200,43200,79200,43200,79200,39600,79200,43200,75600,43200,72000,NA
Библиотека № 88 г. Москвы,"г Москва,г Москва,б-р Сиреневый,д 64/31",37.829458,55.802573,"Фонд детской литературы библиотеки основан на пожертвование штаб-ротмистра К. И. Тихомирова в 1909 г. в память умершей учительницы Первого Преображенского женского училища. Ранее библиотека находилась в здании Преображенского училища, однако в 1914 г. по решению Московской городской Думы библиотека училища была реорганизована в бесплатную народную библиотеку им. А. М. Кадомской.После Октябрьской революции библиотека им. А. М. Кадомской была национализирована и преобразована в Пятую советскую библиотеку им. Лассаля. В начале 1920-х гг. реорганизована в детскую библиотеку № 62 и названа именем Ф. Энгельса.В настоящее время книжный фонд детской литературы – более 30 000 единиц хранения. Ежегодно библиотеку посещают более 3 000 человек.Фонд универсален по содержанию и соответствует запросам детей всех возрастов и их родителей. Библиотека тесно сотрудничает с ближайшими школами, детскими садами, школой олимпийских резервов.Осуществляет библиотечное обслуживание по удаленному доступу через электронную библиотеку «ЛитРес».Структура библиотеки: отделение для детей младшего возраста;абонемент для читателей среднего и старшего возраста;читальный зал.Проводятся массовые мероприятия:праздники, встречи с интересными людьми, беседы;библиографические обзоры.",Москва,2015-07-22T19:17:03Z,2023-03-01T11:41:52Z,NA,NA,43200,75600,43200,75600,43200,75600,43200,75600,43200,75600,43200,72000,NA
