language,glottocode,latitude,longitude,value
Woiwurrung-Thagungwurrung,woiw1237,-37.64264501,145.5879962,absent
Maram Naga,mara1379,25.4378,94.2205,absent
Warumungu,waru1265,-20.6479,134.375,absent
Siroi,siro1249,-5.52893,145.994,absent
Northern Yokuts,yoku1256,36.3167,-119.721,absent
Khakas,khak1248,50.7393,107.169,absent
Kalamang,kara1499,-3.47037,132.678,absent
Lubuagan Kalinga,lubu1243,17.3879,121.0365,absent
Serbian-Croatian-Bosnian,sout1528,44.15,18.81,absent
Eastern Atadei,sout2896,-8.49783,123.531,absent
Yawuru,yawu1244,-18.004,122.693,absent
Shona,shon1251,-17.20849,29.75725,absent
Murui Huitoto,muru1274,-1.13669,-73.8331,absent
Kashmiri,kash1277,34.166825,74.330455,absent
Skolt Saami,skol1241,68.8326,29.7204,absent
Huambisa,huam1247,-3.99109,-77.9797,absent
Motembo-Kunda,temb1272,2.0246,20.36849,absent
Bashkir,bash1264,53.5967,56.5594,absent
Avava,katb1237,-16.2701,167.484,absent
Hieroglyphic Luwian,hier1240,40.019722,34.615278000000004,absent
Molale,mola1238,44.556,-122.857,absent
Rutul,rutu1240,41.6187,47.3244,absent
Qawasqar,qawa1238,-49.303195,-74.707536,absent
Avokaya,avok1242,4.38639,29.9379,absent
Western Mari,west2392,56.22,46.569,absent
Washo,wash1253,38.8184,-119.64,absent
Majang,maja1242,7.71,34.97,absent
Western Highland Chatino,west2644,16.2495,-97.3244,absent
Mengen,meng1267,-5.47036,151.373,absent
Ama (Papua New Guinea),amap1240,-4.20192,141.658,absent
Pattani,patt1248,32.6963,76.5966,absent
Witsuwit'en-Babine,babi1235,55.0997,-126.41,absent
Teanu,tean1237,-11.6752,166.868,absent
Djapu,djap1238,-12.879764,136.417978,absent
Abenlen Ayta,aben1249,15.4131,120.2,absent
Mbo (Cameroon),mboc1235,5.13981,9.92766,absent
Mann,mann1248,7.04616,-8.86405,absent
Teribe,teri1250,9.067,-82.9631,absent
Kaba,kaba1281,7.64972,16.7344,absent
Rejang Kayan,reja1241,2.71903,114.169,absent
Neverver,ling1265,-16.1986,167.499,absent
Awa-Cuaiquer,awac1239,1.21652,-78.3401,absent
San Miguel El Grande Mixtec,sanm1295,17.046881,-97.622482,absent
Mende (Papua New Guinea),mend1268,-3.67233,142.683,absent
Tule-Kaweah Yokuts,tule1245,36.05354,-118.768616,absent
Lotha Naga,loth1237,26.01396,94.04355,absent
Ludian,ludi1246,61.853,33.7346,absent
Russian,russ1263,59,50,absent
Ati,atii1237,11.1539,122.512,absent
Bodo-Mech,bodo1269,26.1,92,absent
Ik,ikkk1242,3.61407,34.2507,absent
Kryz,kryt1240,41.1811,48.1846,absent
Tangwang,tang1373,35.803799,103.54273,absent
Moloko,molo1266,10.7933,14.2521,absent
Oki-No-Erabu,okin1246,27.3738,128.619,absent
Manat,payn1244,-4.94303,144.879,absent
Mountain Koiali,moun1252,-9.06973,147.384,absent
Bongo,bong1285,7.4145,27.9918,absent
Aghem,aghe1239,6.38956,10.0807,absent
Brahui,brah1256,29.04,66.56,absent
Soga,soga1242,0.40456,33.3942,absent
Central Kanuri,cent2050,11.8,13.13,absent
Namia,nami1256,-3.85538,141.788,absent
Mombum,nucl1452,-8.27141,138.773,absent
Idi-Taeme,idii1243,-8.75976,142.301,absent
Belanda Bor,bela1256,6.6503,27.8232,absent
Gogodala,gogo1265,-8.08527,142.874,absent
Eastern Arrernte,east2379,-23.3583,135.046,absent
Bobongko,bobo1255,-0.36759,121.922,absent
Kadar,kada1242,11.0602,76.7285,absent
Bench,benc1235,7.04682,35.7673,absent
Kuanyama,kuan1247,-17.7176,16.58,absent
Mbyá Guaraní,mbya1239,-26.0188,-52.711,absent
Nawuri,nawu1242,8.45116,0.04947,absent
Miya,miya1266,10.923400000000001,9.71505,absent
Xhosa,xhos1239,-31.0389,28.0769,absent
Chuvash,chuv1255,55.487,47.163,absent
Lamjung Yolmo,lamj1247,27.9212,85.6289,absent
Kokata,koka1244,-29.94,135.55,absent
Baki,baki1244,-16.7096,168.165,absent
Kombai,komb1274,-5.54543,139.902,absent
Irabu-Jima,irab1238,24.831088,125.18956,absent
Tangut,tang1334,38.894904,102.246464,absent
Beembe,beem1239,-3.95895,14.1,absent
Woi,woii1237,-1.62746,135.484,absent
Lengo,leng1259,-9.56425,160.42,absent
Kilivila,kili1267,-8.72574,151.072,absent
Makhuwa,makh1264,-14.8509,38.8052,absent
Eastern Geshiza,east2851,31.1026,101.72,absent
Pengo,peng1244,19.3435,83.6552,absent
Iwam,iwam1256,-4.27346,141.817,absent
Tiv,tivv1240,6.88039,9.26287,absent
Akoose,akoo1248,4.9243,9.65522,absent
Nama (Namibia),nama1264,-25.0747,17.9767,absent
Nzakambay,nzak1246,7.66745,15.6675,absent
Russia Buriat,russ1264,50.8533,105.564,absent
Labwor,labw1238,2.699942,33.657947,absent
Siawi,siaw1243,-4.05312,141.42,absent
Southern Kiwai,sout2949,-8.64889,143.244,absent
Eipomek,eipo1242,-4.33691,140.045,absent
Gedaged,geda1237,-5.18175,145.781,absent
Bats,bats1242,42.1806,45.344,absent
Whitesands,whit1269,-19.5019,169.381,absent
Daai Chin,daai1236,20.7347,93.7853,absent
Sunwar,sunw1242,27.5201,86.2476,absent
Situ,situ1238,31.590536,102.660664,absent
Mixtepec Zapotec,mixt1426,16.1724,-96.2372,absent
Chickasaw,chic1270,34,-88,absent
Kunjen,kunj1245,-16.6807,143.53,absent
Southern Sotho,sout2807,-28.78,27.89,absent
Warluwara,warl1256,-22.2909,138.738,absent
Mochica,moch1259,-8.01667,-79,absent
Nzakara,nzak1247,4.79567,22.8254,absent
Bafaw-Balong,bafa1247,4.53307,9.522,absent
Nggem,ngge1241,-3.62735,139.011,absent
Nêlêmwa-Nixumwak,kuma1276,-20.4035,164.193,absent
Kerinci,keri1250,-1.93668,101.403,absent
Baka (Cameroon),baka1272,2.16013,13.7804,absent
Kaki Ae,kaki1249,-7.9946,145.816,absent
North Junín Quechua,nort2980,-11.2132,-75.8128,absent
Bahnar,bahn1262,14.0476,108.471,absent
Lelepa,lele1267,-17.6042,168.202,absent
Gubeeher-Gufangor-Gubelor,gube1234,12.56,-17.19,absent
Takelma,take1257,42.423,-123.452,absent
Avá-Canoeiro,avac1239,-13.6081,-48.1336,absent
Sonsorol,sons1242,5.328596,132.221282,absent
Labuk-Kinabatangan Kadazan,labu1249,5.51924,117.507,absent
Chimila,chim1309,10.1902,-74.2559,absent
Biri,biri1256,-20.1494,146.67,absent
Old Khmer,oldk1249,13.4125,103.866667,absent
Maybrat-Karon,maib1239,-1.3679,132.591,absent
Papuan Malay,papu1250,-2.53482,139.651,absent
Kannada,nucl1305,13.5878,76.1198,absent
Central Sierra Miwok,cent2140,38.0812,-120.257,absent
Wadjiginy,wadj1254,-12.8596,130.737,absent
Hertevin,hert1241,37.373,42.5192,absent
Inland-Buhi-Daraga Bikol,alba1269,13.1989,123.49,absent
Nyankole,nyan1307,-0.46364,30.548,absent
Kimaama,kima1246,-8.01899,138.355,absent
Eastern Mnong,east2333,12.3939,108.354,absent
Shanenawa,shan1283,-8.00919,-73.3264,absent
Achagua,acha1250,4.38649,-72.2005,absent
Ket,kett1243,63.7551,87.5466,absent
Mpoto,mpot1240,-11.13767,34.71269,absent
Miami,miam1252,40,-90,absent
Biao Mon,biao1256,24.6451,113.469,absent
Tedim Chin,tedi1235,23.6079,93.519,absent
Mohawk,moha1258,43.72,-74.66836,absent
Nez Perce,nezp1238,46.3073,-116.408,absent
Amuzgu-Shiri,sirz1237,42.171599,47.332115,absent
Marra,mara1385,-14.7927,134.865,absent
Suku,suku1259,-5.76495,17.7736,absent
Kiowa,kiow1266,34.9403,-98.9042,absent
Western Apache,west2615,33.8574,-110.123,absent
Bolivar-North Chimborazo Highland Quichua,chim1302,-1.36727,-78.8521,absent
Dongxiang,dong1285,35.5808,103.558,absent
Kutenai,kute1249,48.7892,-115.065,absent
Maxakalí,maxa1247,-16.9402,-40.7891,absent
Sauria Paharia,saur1249,24.8124,87.6432,absent
Kunbarlang,kunb1251,-11.9133,133.723,absent
Mele Nadu Irula,mele1247,12.70645,79.95209,absent
Yine,yine1238,-11.1086,-73.3087,absent
Igbo,nucl1417,4.62705,7.23441,absent
Trió,trio1238,2.53616,-55.7599,absent
Guiqiong,guiq1238,30.4803,102.128,absent
Pawaia,pawa1255,-6.88021,145.081,absent
Nakanai,naka1262,-5.59931,150.888,absent
Lokaa,loka1252,5.91483,8.0933,absent
Ogami,ogam1239,24.915887,125.307663,absent
Sarangani Manobo,sara1327,5.84903,125.499,absent
Cavineña,cavi1250,-13.3544,-66.6277,absent
Warrgamay,warr1255,-18.5468,146.179,absent
Ratahan,rata1244,1.07592,124.858,absent
Wilawila,wila1240,-14.9105,126.6,absent
Western Tamang,west2415,28.0239,85.0563,absent
Kulung (Nepal),kulu1253,27.1606,87.5717,absent
