corpus,content,n_syllables,duration
Khislavichi,"А инвалид какой , за рождение, в общем, её.",15,3.259999999999991
Khislavichi,А что им стало?,5,1.3500000000001364
Khislavichi,А потом ушли все.,6,1.41599999999994
Khislavichi,Сыр варили.,4,1.6159999999999854
Khislavichi,Мама.,2,0.5579999999999927
Khislavichi,"Поле ржан=, рожь.",4,2.0289999999999964
Khislavichi,"Ну праздники не знаю, как  в деревнях.",11,2.808999999999969
Khislavichi,Всё время так пекли хлеб.,7,1.602999999999838
Khislavichi,Впереди.,3,0.7079999999998563
Khislavichi,В Санкт-Петербурге.,5,1.3840000000000146
Khislavichi,"Несколько побыла и померла, а сосед был.",14,2.701999999999998
Khislavichi,Не с чем было учиться.,7,1.5150000000000006
Khislavichi,"Так, перекладываешь через шею и всё.",13,2.6499999999999773
Khislavichi,"Я войну пережила. Мне в войну, когда война началась, было десять лет.",22,4.006
Khislavichi,Ни скоту не было в колхозе.,9,1.9420000000000073
Khislavichi,"Не оставались, повырастили уже.",12,2.1499999999999773
Khislavichi,"Были сразу овцы, держали. А потом,",12,2.2939999999999827
Khislavichi,"В колх=, в деревне. А сейчас, наверное, штук пятнадцать осталось.",18,3.699000000000069
Khislavichi,"Операцию, нельзя было их тревожить.",13,2.2530000000000427
Khislavichi,"Я глухая, плохо слышу.",8,1.856999999999971
Khislavichi,"Мы ходили Максимовка, там был у нас.",12,2.367999999999995
Khislavichi,Давали машину и ездили.,10,1.6299999999999957
Khislavichi,"Печку затопишь, дым в дом.",7,2.5790000000000006
Khislavichi,А заставляли работать.,8,1.4800000000000182
Khislavichi,"Где, у которых где леса , так по лесам  пасут.",14,3.6380000000000337
Khislavichi,"Ну, сейчас уже работает.",9,2.2549999999999955
Khislavichi,А то был у нас старшина в деревне.,11,2.5130000000001473
Khislavichi,За дровами.,4,0.9800000000000182
Khislavichi,С глаз людей.,3,1.5319999999999254
Khislavichi,"Сейчас, дык сена бери, сколько хочешь. А тогда не было.",17,3.0579999999999927
Khislavichi,"кишки, говорит, выпустит. Я говорю: она меня не ударит.",20,3.05499999999995
Khislavichi,"Мне было десять лет, когда война началась.",13,2.4400000000000546
Khislavichi,И пряли в куче.,5,1.3530000000000086
Khislavichi,"Но он решился, что скрывал.",8,2
Khislavichi,Куда заставят.,5,1.4420000000000073
Khislavichi,В этой.,2,0.9220000000000256
Khislavichi,Куда их спрячешь?,5,1.4880000000000564
Khislavichi,"Надо было работать идти , а то.",11,1.9289999999999736
Khislavichi,Свиней держали.,5,1.4740000000000038
Khislavichi,Ну работала.,5,1.088000000000001
Khislavichi,"И до смерти не повышедши. Вот то, были в бёдрах.",15,3.552000000000021
Khislavichi,"Было собира=. Тогда ж молодежь забрали, гнали в Германию.",19,3.679999999999836
Khislavichi,Тут была у нас еврейка.,8,1.688000000000102
Khislavichi,Коней же ночью стерегли.,8,1.7210000000000036
Khislavichi,А тогда все начинали с нуля.,10,2.1690000000000964
Khislavichi,"Эта в Вязьме живет, девка одна. А другая - тут вот, в Сычовке.",19,4.116999999999962
Khislavichi,И с тех пор больше нема коров.,9,1.8390000000000557
Khislavichi,"з= э= ходили в друг= за= на болото, клюкву собирали.",16,4.239000000000033
Khislavichi,Газом был отравленный.,7,1.7010000000000218
Khislavichi,Тогда поехали домой.,8,1.812000000000012
Khislavichi,Колесник.,3,1.0459999999999925
Khislavichi,Одних людей отправлял на...,8,2.143000000000029
Khislavichi,"Сколько, насколько хочешь, то делали, что целый год хранился.",18,4.641000000000076
Khislavichi,А кто ей лт=. Она нас учила.,9,2.421999999999912
Khislavichi,"И наши пришли, в ровках где сидели, кто где в сарае, кто где.",18,4
Khislavichi,"Так оттуда - партизаны, отсюда - наши, рус=.",14,2.714999999999975
Khislavichi,"Сразу на трудодни работали, тогда ж на деньги перевели.",19,3.6000000000000227
Khislavichi,"Занесу, в пустачь его пущу.",9,2.080999999999989
Khislavichi,"В войну ж нам никакого  не материла не было, ничего. Дык после войны.",23,3.925999999999988
Khislavichi,И этот .,3,0.9610000000000128
Khislavichi,"Если девчонки, дак делали.",9,3.198000000000036
Khislavichi,"Это, город звался, это когда...",10,2.033000000000129
Khislavichi,Захватится.,4,1.072999999999979
Khislavichi,Где переехать.,5,1.1949999999999932
Khislavichi,"Так эту насыпаешь, в корыто, и она стоит целый год.",18,2.8640000000000327
Khislavichi,Ну как?,2,0.6470000000000482
Khislavichi,"Тогда школы были,",6,1.4739999999999327
Khislavichi,"Я самая младшая, я одна осталась. Уже все померли.",19,3.4220000000000255
Khislavichi,Я с тридцать первого.,6,1.5970000000000013
Khislavichi,"Живут и здесь, э-э, где, около дома бывают.",15,4.010000000000048
Khislavichi,"А лесу не было так, как  сейчас заросло. А такие вот прутики, сеткой принесешь и сразу в х=.",29,5.8700000000000045
Khislavichi,Я шесть.,2,0.9700000000000272
Khislavichi,"Овец держали, и чесали, и пряли и.",13,2.441000000000031
Khislavichi,Сыпешь горсточку и крутишь сам.,9,2.288000000000011
Khislavichi,Её мужик служит по контракту.,10,2.4300000000000637
Khislavichi,"Был, был мороз. С морозом уж копали.",11,2.8319999999999936
Khislavichi,Под окна .,3,1.109000000000151
Khislavichi,"Ну это было и страшно, если б нашли, то б не только евреев, и б его убили.",25,4.59699999999998
Khislavichi,Теперь закрывают в банки всё.,9,1.7999999999999543
Khislavichi,"Двое совсем не пришли, было четверо.",12,2.759999999999991
Khislavichi,"Посевная кончится, дают машину председатели, едут.",19,3.323999999999955
Khislavichi,"Я, когда мы, он был живой, то по две держали, а когда уже,",19,3.988000000000056
Khislavichi,"И тогда можно было заблудиться, и сейчас можно заблудиться.",20,3.4259999999999877
Khislavichi,"Хоть и рассказывал, дык ци помню? Еще тогда.",14,2.6620000000000346
Khislavichi,А из чего?,4,0.9049999999999728
Khislavichi,"Эх=, этот .",3,1.160000000000025
Khislavichi,Дак приносили по очереди керосин. Кто где добудет.,18,3.926999999999964
Khislavichi,"Я не знаю, с кем.",5,1.462999999999994
Khislavichi,За дровами.,4,0.8720000000000141
Khislavichi,"Ну, как  могли, так и сеяли, работали.",13,2.7200000000000273
Khislavichi,Вот так.,2,0.6700000000000159
Khislavichi,В ровы повышли из деревни.,9,2.5
Khislavichi,"Ну, в колхозе начали сеять чи зерно.",12,2.4809999999999945
Khislavichi,"Красные шли , наши.",6,1.559000000000026
Khislavichi,До войны и в войну.,6,1.3830000000000382
Khislavichi,Его забрали в семнадцать лет.,9,1.9799999999999045
Khislavichi,"Считай, ни одного дома не было, чтоб...",12,2.5520000000001346
Khislavichi,Бывало и такое.,7,1.2339999999999804
Khislavichi,"Орь= орехи носили к Колядам, тогда в Коляды орехи.",18,3.8099999999999454
Khislavichi,Заборть звали.,4,1.3240000000000125
Khislavichi,Травили.,3,0.7870000000000346
Khislavichi,"Ну, ходили не по одному ходили, ходили кучей, один одного з=",22,4.1959999999999695
Khislavichi,"А так пахали, что.",6,1.4800000000000182
Khislavichi,"Четыре, с батькою.",6,1.3329999999998563
Khislavichi,А уже в сорок третьем нас освободили от немцев.,16,2.9400000000000546
Khislavichi,Да.,1,0.42200000000002547
Khislavichi,Не было.,3,0.7139999999999418
Khislavichi,"И я ухожу утром, и только прихожу вечером. Потому что тяжело ж.",23,3.794999999999987
