name,address,longitude,latitude,description,subordination,creation_time,modification_time,mo_from,mo_to,tu_from,tu_to,we_from,we_to,th_from,th_to,fr_from,fr_to,sa_from,sa_to,su_from,su_to
Боргойская поселенческая библиотека,"Респ Бурятия,р-н Джидинский,у Боргой,ул Школьная,зд 1",105.837432,50.746705,"Боргойская поселенческая библиотека была открыта в 1955 году. Книжный фонд включает 3 713 экземпляров. Ежегодно обслуживается более 400 читателей.Библиотека играет важную роль в культурной и социальной жизни села, являясь центром получения информации, знаний, приобщения к культуре, развития личности на примере лучших традиций мировой культуры, произведений литературы и искусства. Основной функцией библиотеки является привлечение новых пользователей и качественное обслуживание читателей.Здесь проводятся различные мероприятия: игровая программа для детей и родителей «Нам вместе весело», викторины, акции «Подари книгу» и «Вылечим книгу». Также оформляются выставки-просмотры: «Книга есть жизнь нашего времени», «Все лучшее в книгах – детям», «Советуем прочитать» и другие.Действует клуб для людей старшего поколения «Гэрэл», в рамках которого проходят интересные мероприятия – их темы определяют сами участники. Девиз клуба: «Когда душа бывает молодой, тогда не страшен возраст пожилой». Функционирует литературно-познавательный клуб для детей младшего школьного возраста «Жар-птица».",Джидинский район,2022-09-20T06:23:43Z,2022-09-26T07:32:07Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,,,
Библиотека-филиал № 13 п. Джамку,"край Хабаровский,р-н Солнечный,п Джамку,ул Центральная,д 1А",134.64413,51.121282,"Библиотека была открыта в 1981 году. Своим рождением обязана строительству Байкало-Амурской магистрали, строителям, прибывшим из Волгограда строить поселок. Находится на втором этаже здания торгово-общественного центра. Фонд насчитывает 6 929 экземпляров литературы. Количество посещений библиотеки в течение года – 2 566. В библиотеке проходят интересные мероприятия: неделя краеведческой книги «В глубине России есть земля такая», краеведческие посиделки «Это истории строки», презентации «Джамку – жемчужина Солнечного района», «Я здесь живу, и край мне этот дорог» и др. Из года в год библиотека собирает любителей поэзии на Бамовский фестиваль литературного творчества «Родник».",Солнечный район,2022-09-28T05:15:45Z,2023-05-30T09:04:43Z,,,14:00:00,18:00:00,14:30:00,18:00:00,14:30:00,18:00:00,14:30:00,18:00:00,14:30:00,18:00:00,,
Тимербаевская сельская библиотека,"Респ Башкортостан,р-н Куюргазинский,д Тимербаево,ул Центральная,д 106",55.3270900456241,52.6673806298692,"Тимербаевская сельская библиотека – филиал № 21 открылась в 1982 году. Фонд библиотеки – 6 977 экземпляров, в зоне обслуживания – 350 жителей. В зону обслуживания входит населенный пункт Киньзя-Абыз. Библиотека активно сотрудничает с администрацией сельского поселения, сельской школой. Особое место уделяется гражданскому и патриотическому воспитанию, краеведческой работе. Внимание читателей обращается на общественные ценности, русскую и башкирскую литературу и искусство. Посредством литературы уделяется внимание нравственному, эстетическому, экологическому воспитанию, темам духовности и милосердия. Вся работа увязывается с местными условиями, жизнью и задачами коллективов, расположенных на территории поселения.",Куюргазинский район,2020-10-21T10:14:35Z,2023-02-02T08:01:54Z,10:00:00,13:30:00,10:00:00,13:30:00,10:00:00,13:30:00,10:00:00,13:30:00,10:00:00,13:30:00,,,,
Библиотека-филиал № 22 г. Грозного,"Респ Чеченская,г Грозный,ул Заветы Ильича,д 20",45.6329959630966,43.3538622401396,"Библиотека открыта с 1972 года. Расположена в четырехэтажном жилом квартирном доме. Площадь помещения составляет 119,1 квадратных метра. Недалеко от библиотеки находятся СОШ № 49, СОШ № 54. В филиале имеется абонентский отдел, читальный зал (в обоих помещениях проводятся мероприятия, направленные на пропаганду духовно-нравственного, патриотического воспитания и мероприятия связанные с художественной литературой), книгохранилище, административный корпус.В филиале организован детский клуб «Читайка», в котором есть свой актив юных читателей. Клуб проводит заседание один раз в месяц.В настоящее время книжный фонд библиотеки насчитывает четыре тысячи девятьсот пять экземпляров и обслуживает около трех с половины тысячи пользователей в год. Основной контингент – это дети.",Грозный,2016-11-15T12:58:04Z,2023-03-03T12:34:20Z,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,09:00:00,18:00:00,,,,
Детская библиотека № 48 г. Уфы,"Респ Башкортостан,г Уфа,ул 8 Марта,д 26",55.9826211639274,54.7350940056967,"Детская библиотека приняла первых читателей в 1982 году. Ее фонд насчитывает 28 000 экземпляров книг и журналов. Сегодня библиотеку посещают 2 325 человек. В библиотеке проводятся литературные и тематические мероприятия, беседы, встречи. Кружок «Солнышко» организует школьников в свободное от занятий время. Дети играют в настольные игры, создают поделки из природных материалов, читают книги, ухаживают за комнатными растениями, просматривают информационный наглядный материал. В читальном зале ребята могут почитать познавательные журналы и увлекательные книги, оформить дневник внеклассного чтения, совместно с библиотекарем подготовить информационное сообщение для тематического реферата, создать электронную презентацию, видеоролик, выполнить школьное задание.",Уфа,2020-09-11T08:20:07Z,2023-01-31T06:54:47Z,,,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,
Киржеманская сельская библиотека,"Респ Мордовия,р-н Большеигнатовский,с Киржеманы,ул Советская,д 32",45.748952,54.963719,"Киржеманская сельская библиотека предоставляет свободный доступ к своим ресурсам населению, проживающему в зоне размещения библиотеки (село Киржеманы, д. Красная Нива). В библиотеке читателей ждут презентации книг, литературные вечера, встречи с интересными людьми, обзоры литературы, беседы на различные темы! Многообразие выставок литературы также для вас. Также в библиотеке ведется сбор краеведческого материала, имеется музейный уголок, где собраны старинные предметы быта. В 2021 году в Киржеманской сельской библиотеке было обслужено 380 читателей и выдано более 6000 экземпляров книг. Фонд библиотеки насчитывает более 7000 экземпляров.",Большеигнатовский район,2020-09-03T09:55:52Z,2023-02-10T13:41:44Z,11:00:00,14:36:00,11:00:00,14:36:00,11:00:00,14:36:00,11:00:00,14:36:00,11:00:00,14:36:00,,,,
Центральная детская библиотека с. Большие Кайбицы,"Респ Татарстан,р-н Кайбицкий,с Большие Кайбицы,ул Солнечный бульвар,д 18",48.1998135595245,55.4029777409969,"Структура Центральной детской библиотеки состоит из двух отделов: читальный зал и абонемент, которые занимают отдельные комнаты. Фонд в основном в открытом доступе, незначительная часть в закрытом фонде. Помещение библиотеки светлое, множество комнатных растений создают уютную атмосферу, температурный режим комфортный для детей. Стеллажи и полки для наглядной выставочной работы достаточны, интерактивный экран используется, площадь читального зала позволяет проводить мероприятия с целым классом или группой дошкольников. Фонд Центральной детской библиотеки составляет – 18 735 экз. книг. Центральная детская библиотека обслуживает 936 пользователей.",Кайбицкий район,2022-02-04T11:35:58Z,2023-01-27T08:34:30Z,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,17:00:00,08:00:00,12:00:00,,
Осеневская библиотека,"обл Ярославская,р-н Гаврилов-Ямский,с Осенево,ул Клубная,д 5",40.199582,57.235073,"Осеневская библиотека – одна из библиотек-филиалов МБУК «Гаврилов-Ямская межпоселенческая центральная районная библиотека-музей». Первая запись в инвентарной книге современной Осеневской библиотеки датирована 19 декабря 1946 года. Фонд библиотеки насчитывает свыше 4 тыс. единиц хранения, количество читателей составляет более 190 человек. Проводится много культурно-просветительских и досуговых мероприятий. Для детей проводятся интересные конкурсы, уроки чтения. Так же проводятся выставки книг, творческие вечера которые очень интересны для жителей села. Праздничные мероприятия пользуются спросом.",Гаврилов-Ямский район,2018-06-27T13:40:17Z,2023-04-04T08:01:47Z,,,11:00:00,18:30:00,,,11:00:00,18:30:00,,,12:00:00,17:30:00,,
Библиотека имени А. А. Фадеева,"обл Ростовская,г Ростов-на-Дону,ул Щаденко,д 2/256",39.794756,47.253054,"Библиотека имени А. А. Фадеева была основана в апреле 1954 года. Её первым заведующим был Иван Петрович Кисляков, известный ростовский библиофил, старейший библиотекарь Дона, посвятивший библиотечному делу более полувека. Именно ему принадлежит идея присвоить скромному книгохранилищу имя классика советской литературы. Личности и творчеству А. А. Фадеева посвящена мемориальная экспозиция «Александр Фадеев – писатель, борец, гражданин», организованная в 2011 году в библиотеке. Здесь представлены раритетные издания произведений «Молодая гвардия», «Разгром», уникальные газетные и журнальные материалы. Универсальный фонд библиотеки насчитывает около 44,6 тыс экземпляров книг и периодических изданий.",Ростов-на-Дону,2019-06-17T08:46:14Z,2023-03-16T12:13:05Z,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,10:00:00,18:00:00,,,,,10:00:00,18:00:00
Лосевская детская библиотека,"обл Воронежская,р-н Павловский,с Лосево,пл Базарная,д 12",40.0205942988396,50.6762468250947,"1954 г. в летописи страны – это год освоения целины, развития самолетостроения, начало регулярных телевизионных передач. А в это время в Лосево открывается детская библиотека. Это произошло благодаря стараниям заведующего Лосевским отделом культуры Мережкина Ивана Дмитриевича. В масштабах страны это и не событие вовсе, но для лосевских ребятишек оно стало заметным и значительным.В 1962 году библиотека переехала в нынешнее здание, а до этого она размещалась в маленькой комнате школьного интерната. На сегодняшний день библиотека имеет 17 140 экземпляров книг, обслуживает около 1 200 читателей. В библиотеке вы можете посетить книжные выставки, а также стать участниками викторин, литературных праздников, поэтических вечеров и других массовых мероприятий.",Павловский район,2018-01-31T11:20:45Z,2023-03-03T09:48:49Z,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,09:00:00,16:00:00,,,,
